temperature,humidity,mq2_smoke,mq135_gas,flame_detected,cv_flame_score,cv_smoke_score,person_detected,label
43.21,24.36,354,649,0,0.31,0.53,0,Gas Leak
22.84,36.27,115,212,0,0.1,0.02,0,Safe
35.71,35.18,328,397,0,0.07,0.25,0,Warning
36.56,36.79,499,816,0,0.2,0.59,0,Gas Leak
71.29,27.64,911,990,1,0.99,0.96,0,Evacuate Immediately
29.42,51.35,116,228,0,0.08,0.06,1,Safe
40.46,38.35,430,820,0,0.32,0.5,1,Gas Leak
39.02,20.66,540,705,0,0.25,0.42,0,Gas Leak
72.32,6.05,991,987,1,0.98,0.99,0,Evacuate Immediately
38.96,35.42,562,716,0,0.34,0.42,1,Gas Leak
32.97,32.38,111,172,0,0.03,0.06,1,Safe
46.74,26.3,309,874,0,0.39,0.52,0,Gas Leak
32.59,36.42,174,158,0,0.03,0.06,1,Safe
47.48,37.45,334,709,0,0.12,0.59,1,Gas Leak
46.23,33.17,544,780,0,0.18,0.5,1,Gas Leak
34.36,52.56,132,194,0,0.05,0.0,1,Safe
61.81,27.32,809,681,1,0.68,0.87,0,Fire Detected
45.26,22.41,567,808,0,0.37,0.55,1,Gas Leak
41.48,30.1,356,699,0,0.38,0.51,1,Gas Leak
32.21,30.73,153,141,0,0.03,0.08,0,Safe
36.46,33.09,402,631,0,0.25,0.58,0,Gas Leak
82.26,21.48,882,885,1,0.91,0.99,0,Evacuate Immediately
46.14,41.11,409,743,0,0.12,0.36,0,Gas Leak
86.33,27.71,925,866,1,0.96,0.91,0,Evacuate Immediately
35.48,54.9,213,330,0,0.26,0.3,0,Warning
62.02,29.85,816,804,1,0.64,0.64,0,Fire Detected
54.09,24.91,881,680,1,0.71,0.79,0,Fire Detected
22.94,56.8,107,150,0,0.03,0.03,0,Safe
38.39,25.27,407,673,0,0.24,0.37,0,Gas Leak
20.0,56.6,133,163,0,0.04,0.02,1,Safe
88.31,22.48,992,939,1,0.98,0.99,0,Evacuate Immediately
68.88,17.91,984,985,1,0.95,0.99,0,Evacuate Immediately
30.72,43.06,162,202,0,0.02,0.05,0,Safe
60.62,20.69,715,686,1,0.62,0.85,1,Fire Detected
41.5,32.63,384,295,0,0.12,0.34,0,Warning
24.67,39.15,115,110,0,0.09,0.02,0,Safe
58.04,22.4,760,693,1,0.81,0.81,0,Fire Detected
38.59,39.29,490,888,0,0.3,0.38,1,Gas Leak
42.15,45.27,245,250,0,0.05,0.5,1,Warning
36.83,28.62,421,634,0,0.19,0.56,0,Gas Leak
29.49,35.45,102,128,0,0.01,0.05,0,Safe
30.06,53.43,182,130,0,0.03,0.02,0,Safe
57.76,32.52,793,760,1,0.63,0.67,0,Fire Detected
29.45,53.2,104,205,0,0.01,0.05,0,Safe
20.56,55.31,114,157,0,0.03,0.02,1,Safe
65.2,38.07,843,707,1,0.89,0.76,1,Fire Detected
34.75,57.8,155,244,0,0.01,0.05,1,Safe
52.25,17.17,817,831,1,0.77,0.81,1,Fire Detected
20.67,46.0,172,223,0,0.06,0.01,1,Safe
39.04,28.5,388,886,0,0.25,0.6,1,Gas Leak
42.04,36.19,338,836,0,0.39,0.49,1,Gas Leak
43.68,46.26,343,229,0,0.19,0.48,1,Warning
30.0,50.46,147,115,0,0.04,0.01,1,Safe
65.78,21.05,890,1000,1,0.94,0.93,0,Evacuate Immediately
47.31,20.35,709,806,1,0.71,0.73,0,Fire Detected
25.51,42.18,177,207,0,0.0,0.04,0,Safe
26.34,36.41,189,192,0,0.09,0.01,0,Safe
69.22,38.03,787,658,1,0.65,0.84,1,Fire Detected
35.43,58.16,326,264,0,0.26,0.38,1,Warning
24.34,53.65,174,106,0,0.04,0.07,1,Safe
33.86,47.86,165,138,0,0.04,0.01,1,Safe
30.95,58.95,164,217,0,0.03,0.07,1,Safe
43.63,59.69,327,294,0,0.14,0.26,0,Warning
39.31,52.91,230,241,0,0.27,0.44,1,Warning
39.65,51.96,297,231,0,0.08,0.3,1,Warning
43.99,30.79,557,614,0,0.19,0.47,0,Gas Leak
26.3,40.06,166,202,0,0.06,0.08,1,Safe
48.57,29.36,732,754,1,0.69,0.88,1,Fire Detected
21.98,49.96,141,142,0,0.03,0.05,0,Safe
41.07,24.91,398,802,0,0.36,0.57,1,Gas Leak
38.47,33.8,375,217,0,0.19,0.25,1,Warning
55.9,22.57,710,615,1,0.86,0.87,0,Fire Detected
42.07,31.34,428,702,0,0.34,0.35,0,Gas Leak
40.29,49.32,380,705,0,0.29,0.6,0,Gas Leak
32.38,40.43,159,169,0,0.03,0.01,0,Safe
84.04,7.14,997,963,1,0.99,0.95,0,Evacuate Immediately
83.2,21.55,999,977,1,0.96,0.99,0,Evacuate Immediately
40.24,52.09,228,212,0,0.03,0.2,0,Warning
28.54,39.13,142,137,0,0.08,0.01,1,Safe
35.39,51.62,314,386,0,0.16,0.35,1,Warning
33.92,55.63,105,197,0,0.05,0.07,1,Safe
36.86,44.3,508,730,0,0.2,0.43,0,Gas Leak
52.88,25.6,858,847,1,0.74,0.76,0,Fire Detected
63.39,16.44,761,676,1,0.67,0.69,0,Fire Detected
24.08,49.26,110,101,0,0.06,0.03,0,Safe
50.17,30.55,769,763,1,0.72,0.72,1,Fire Detected
62.67,25.44,744,737,1,0.67,0.71,1,Fire Detected
45.73,27.07,745,773,1,0.76,0.69,0,Fire Detected
43.72,38.61,451,683,0,0.2,0.34,0,Gas Leak
23.31,48.81,168,133,0,0.05,0.02,1,Safe
37.5,42.65,367,767,0,0.22,0.42,0,Gas Leak
22.46,33.74,159,219,0,0.05,0.03,0,Safe
39.86,48.96,351,351,0,0.25,0.27,1,Warning
54.24,34.1,747,634,1,0.82,0.61,0,Fire Detected
38.94,47.12,345,799,0,0.3,0.59,1,Gas Leak
71.92,17.77,949,901,1,0.94,0.98,0,Evacuate Immediately
27.53,43.43,140,211,0,0.04,0.01,0,Safe
36.87,36.42,382,242,0,0.11,0.44,0,Warning
42.62,32.78,418,603,0,0.15,0.57,1,Gas Leak
39.55,41.47,360,807,0,0.28,0.46,1,Gas Leak
49.23,47.87,465,692,0,0.11,0.45,0,Gas Leak
43.11,28.76,346,718,0,0.11,0.52,1,Gas Leak
61.6,27.15,840,839,1,0.84,0.68,1,Fire Detected
52.63,32.72,805,623,1,0.72,0.78,0,Fire Detected
69.13,18.92,913,961,1,0.9,0.99,0,Evacuate Immediately
33.31,35.02,109,219,0,0.01,0.03,1,Safe
65.28,24.87,860,876,1,0.99,0.9,0,Evacuate Immediately
58.47,39.95,733,804,1,0.85,0.68,1,Fire Detected
57.62,26.34,822,679,1,0.76,0.71,1,Fire Detected
62.62,14.54,873,710,1,0.66,0.75,0,Fire Detected
54.72,10.97,899,718,1,0.7,0.75,1,Fire Detected
52.4,28.39,827,602,1,0.65,0.88,1,Fire Detected
32.5,43.48,116,179,0,0.03,0.03,0,Safe
34.37,33.92,125,243,0,0.06,0.0,0,Safe
45.53,39.39,795,788,1,0.72,0.79,1,Fire Detected
20.34,41.83,146,245,0,0.0,0.08,1,Safe
41.25,47.96,557,793,0,0.16,0.44,1,Gas Leak
35.91,45.75,205,272,0,0.26,0.27,1,Warning
20.24,46.95,130,238,0,0.01,0.09,1,Safe
44.21,43.44,370,637,0,0.19,0.52,0,Gas Leak
61.01,16.33,863,697,1,0.63,0.62,0,Fire Detected
89.53,25.94,963,925,1,0.98,0.9,0,Evacuate Immediately
40.31,34.18,269,229,0,0.04,0.37,0,Warning
37.89,42.91,217,324,0,0.14,0.38,0,Warning
33.09,33.6,195,230,0,0.06,0.02,0,Safe
47.63,49.75,354,755,0,0.26,0.58,0,Gas Leak
37.01,43.29,317,260,0,0.28,0.24,1,Warning
36.77,42.48,529,665,0,0.35,0.33,1,Gas Leak
21.52,31.76,177,165,0,0.01,0.09,1,Safe
78.28,27.8,898,1013,1,0.91,0.99,0,Evacuate Immediately
44.39,59.56,358,394,0,0.27,0.32,0,Warning
44.96,53.75,357,275,0,0.2,0.33,1,Warning
35.59,40.6,376,231,0,0.14,0.37,1,Warning
25.15,56.33,188,184,0,0.08,0.04,0,Safe
21.89,34.95,147,169,0,0.0,0.08,1,Safe
27.49,40.17,149,247,0,0.09,0.08,0,Safe
20.13,53.23,200,142,0,0.06,0.03,1,Safe
61.78,15.51,869,830,1,0.65,0.73,1,Fire Detected
42.44,43.98,208,253,0,0.22,0.31,0,Warning
55.56,31.43,750,846,1,0.86,0.84,0,Fire Detected
82.65,5.78,931,911,1,0.94,0.93,0,Evacuate Immediately
37.71,36.26,249,249,0,0.21,0.43,0,Warning
43.36,39.8,220,315,0,0.25,0.34,0,Warning
29.87,32.74,110,176,0,0.05,0.02,1,Safe
21.18,36.97,170,165,0,0.03,0.02,0,Safe
49.58,21.52,572,694,0,0.38,0.43,1,Gas Leak
50.36,23.37,895,676,1,0.72,0.77,1,Fire Detected
68.1,13.8,840,651,1,0.82,0.86,0,Fire Detected
49.0,32.82,437,857,0,0.28,0.34,1,Gas Leak
32.66,53.83,155,181,0,0.09,0.08,1,Safe
58.63,28.6,889,779,1,0.71,0.68,0,Fire Detected
65.17,27.87,840,760,1,0.83,0.66,1,Fire Detected
42.07,50.18,395,362,0,0.11,0.38,1,Warning
68.7,26.01,958,974,1,0.95,0.95,0,Evacuate Immediately
44.83,39.17,314,305,0,0.14,0.4,1,Warning
46.98,25.92,774,786,1,0.7,0.66,1,Fire Detected
32.37,55.74,127,191,0,0.07,0.05,0,Safe
56.05,15.79,813,663,1,0.69,0.66,1,Fire Detected
21.58,59.73,193,229,0,0.03,0.06,1,Safe
41.2,45.59,247,320,0,0.04,0.32,0,Warning
89.02,28.34,886,968,1,0.96,0.95,0,Evacuate Immediately
52.44,11.81,826,757,1,0.66,0.67,0,Fire Detected
39.69,26.15,356,637,0,0.1,0.39,1,Gas Leak
69.6,19.88,999,1015,1,0.92,0.91,0,Evacuate Immediately
47.88,19.89,858,707,1,0.89,0.63,1,Fire Detected
40.25,54.95,339,306,0,0.13,0.3,1,Warning
43.08,39.66,513,877,0,0.21,0.54,0,Gas Leak
39.17,33.3,558,658,0,0.11,0.37,1,Gas Leak
32.86,36.07,173,108,0,0.02,0.03,1,Safe
48.69,32.06,305,654,0,0.29,0.3,0,Gas Leak
44.52,20.47,444,830,0,0.11,0.35,1,Gas Leak
47.42,24.76,483,759,0,0.26,0.42,1,Gas Leak
36.92,29.56,525,715,0,0.14,0.55,1,Gas Leak
48.41,19.62,865,783,1,0.85,0.89,0,Fire Detected
23.54,42.0,114,199,0,0.07,0.08,0,Safe
82.34,20.08,902,1002,1,0.99,0.93,0,Evacuate Immediately
67.27,27.29,837,716,1,0.76,0.84,0,Fire Detected
35.45,31.58,395,770,0,0.3,0.39,0,Gas Leak
78.01,7.96,869,946,1,0.99,0.98,0,Evacuate Immediately
27.65,44.48,150,230,0,0.01,0.06,1,Safe
53.06,15.26,739,840,1,0.8,0.86,0,Fire Detected
50.01,26.55,768,681,1,0.7,0.73,1,Fire Detected
23.52,48.53,141,164,0,0.07,0.07,1,Safe
26.93,42.73,100,155,0,0.02,0.0,0,Safe
98.34,22.12,907,900,1,0.93,0.99,0,Evacuate Immediately
27.92,41.49,107,116,0,0.01,0.03,1,Safe
73.05,29.5,976,882,1,0.92,0.94,0,Evacuate Immediately
56.72,12.87,823,744,1,0.89,0.67,1,Fire Detected
64.33,16.18,727,626,1,0.82,0.64,0,Fire Detected
60.74,22.19,804,692,1,0.79,0.67,0,Fire Detected
46.76,38.33,309,891,0,0.29,0.41,0,Gas Leak
45.13,16.79,709,620,1,0.74,0.67,1,Fire Detected
27.8,35.19,123,228,0,0.08,0.01,0,Safe
33.29,48.03,110,214,0,0.03,0.1,0,Safe
38.07,54.45,257,259,0,0.22,0.33,0,Warning
20.46,48.12,132,133,0,0.03,0.01,1,Safe
64.7,23.04,776,657,1,0.88,0.79,0,Fire Detected
72.48,17.27,854,975,1,0.98,0.94,0,Evacuate Immediately
74.98,5.75,991,888,1,0.94,0.97,0,Evacuate Immediately
34.02,47.75,168,250,0,0.1,0.05,0,Safe
47.81,33.57,557,642,0,0.18,0.49,0,Gas Leak
20.07,43.74,190,205,0,0.09,0.05,0,Safe
30.21,34.01,130,244,0,0.04,0.1,0,Safe
64.13,35.45,869,804,1,0.62,0.86,1,Fire Detected
37.39,20.19,332,792,0,0.25,0.31,0,Gas Leak
61.66,11.23,802,802,1,0.73,0.83,0,Fire Detected
64.23,12.25,872,720,1,0.83,0.79,0,Fire Detected
31.0,55.06,106,168,0,0.08,0.07,1,Safe
69.14,8.88,952,917,1,0.98,0.95,0,Evacuate Immediately
41.05,45.04,303,352,0,0.18,0.31,1,Warning
41.12,39.47,356,293,0,0.05,0.25,1,Warning
69.46,39.38,771,829,1,0.8,0.74,1,Fire Detected
38.24,59.19,393,337,0,0.2,0.37,0,Warning
30.74,46.87,155,142,0,0.03,0.06,0,Safe
50.03,15.66,880,848,1,0.77,0.86,1,Fire Detected
58.61,30.04,725,613,1,0.62,0.62,1,Fire Detected
43.41,58.32,243,393,0,0.12,0.21,0,Warning
41.95,38.17,398,345,0,0.16,0.49,1,Warning
38.8,30.58,322,262,0,0.3,0.23,0,Warning
21.8,30.41,143,187,0,0.05,0.02,1,Safe
73.41,26.28,898,943,1,0.95,0.96,0,Evacuate Immediately
38.83,53.07,260,286,0,0.24,0.22,1,Warning
47.33,32.88,564,819,0,0.33,0.35,0,Gas Leak
50.76,25.4,795,747,1,0.86,0.72,0,Fire Detected
44.18,49.03,211,394,0,0.01,0.32,0,Warning
65.88,20.92,762,609,1,0.75,0.73,1,Fire Detected
37.63,29.06,570,638,0,0.12,0.55,1,Gas Leak
26.79,41.99,200,207,0,0.0,0.02,1,Safe
40.66,30.17,331,266,0,0.26,0.26,0,Warning
94.72,22.15,872,934,1,0.99,0.93,0,Evacuate Immediately
41.27,50.9,351,226,0,0.17,0.22,0,Warning
36.42,47.67,321,339,0,0.23,0.35,0,Warning
34.84,50.68,134,122,0,0.03,0.04,1,Safe
34.69,36.9,140,144,0,0.09,0.07,1,Safe
35.84,48.34,494,638,0,0.13,0.35,0,Gas Leak
40.09,47.81,464,608,0,0.17,0.41,0,Gas Leak
96.5,11.98,884,966,1,0.92,0.97,0,Evacuate Immediately
39.38,42.71,244,256,0,0.14,0.21,0,Warning
34.77,32.22,145,206,0,0.05,0.08,0,Safe
96.89,15.41,889,913,1,0.95,0.97,0,Evacuate Immediately
38.35,31.85,292,379,0,0.1,0.48,0,Warning
43.97,50.77,355,363,0,0.24,0.38,0,Warning
31.42,58.96,140,165,0,0.07,0.06,1,Safe
40.18,21.77,535,836,0,0.27,0.45,0,Gas Leak
35.41,50.09,369,263,0,0.12,0.29,1,Warning
28.03,51.52,198,144,0,0.01,0.09,1,Safe
47.52,27.57,584,602,0,0.2,0.43,0,Gas Leak
52.11,32.32,847,679,1,0.74,0.77,1,Fire Detected
48.71,21.46,581,622,0,0.23,0.46,1,Gas Leak
26.26,37.14,133,175,0,0.08,0.04,1,Safe
20.48,33.86,104,190,0,0.02,0.08,0,Safe
27.0,45.51,176,197,0,0.1,0.02,0,Safe
66.7,15.36,903,1013,1,0.95,0.98,0,Evacuate Immediately
65.48,21.22,921,863,1,0.95,0.94,0,Evacuate Immediately
44.78,58.32,324,375,0,0.15,0.38,1,Warning
42.01,46.49,287,357,0,0.15,0.38,1,Warning
27.72,46.62,129,245,0,0.06,0.06,1,Safe
49.0,27.2,559,713,0,0.13,0.54,1,Gas Leak
39.1,39.69,545,856,0,0.3,0.31,0,Gas Leak
31.89,45.13,123,220,0,0.01,0.04,0,Safe
68.34,18.21,787,642,1,0.69,0.66,1,Fire Detected
56.98,25.76,889,741,1,0.9,0.64,0,Fire Detected
37.01,57.18,247,303,0,0.23,0.34,1,Warning
51.41,37.05,806,746,1,0.66,0.83,0,Fire Detected
50.57,19.99,887,766,1,0.89,0.69,1,Fire Detected
29.6,37.64,127,149,0,0.01,0.07,0,Safe
44.72,25.1,308,741,0,0.36,0.47,1,Gas Leak
25.97,36.97,192,204,0,0.01,0.1,0,Safe
24.03,58.42,120,181,0,0.06,0.08,0,Safe
36.11,39.59,298,281,0,0.16,0.32,1,Warning
46.92,37.48,873,795,1,0.62,0.75,1,Fire Detected
88.19,11.94,872,892,1,0.91,0.96,0,Evacuate Immediately
37.43,31.18,251,240,0,0.07,0.39,0,Warning
23.82,42.55,181,153,0,0.06,0.09,0,Safe
41.44,48.53,284,390,0,0.24,0.21,1,Warning
46.97,38.52,471,743,0,0.17,0.46,0,Gas Leak
33.27,40.09,141,114,0,0.08,0.01,1,Safe
34.65,53.73,134,171,0,0.09,0.06,1,Safe
33.07,58.01,157,200,0,0.05,0.06,0,Safe
37.62,46.51,220,340,0,0.07,0.46,0,Warning
67.24,12.25,912,871,1,0.98,0.95,0,Evacuate Immediately
71.22,12.64,1012,988,1,0.98,0.99,0,Evacuate Immediately
39.42,42.45,519,835,0,0.14,0.52,0,Gas Leak
65.25,13.95,848,612,1,0.87,0.73,1,Fire Detected
67.86,30.32,705,836,1,0.76,0.75,1,Fire Detected
37.67,34.37,562,881,0,0.29,0.44,0,Gas Leak
38.37,45.83,231,326,0,0.07,0.36,0,Warning
59.85,12.26,875,662,1,0.89,0.85,1,Fire Detected
47.17,28.97,560,891,0,0.15,0.57,0,Gas Leak
45.32,27.42,302,842,0,0.13,0.38,1,Gas Leak
51.77,19.24,779,788,1,0.69,0.65,0,Fire Detected
28.44,34.02,137,123,0,0.0,0.02,0,Safe
43.23,52.6,391,367,0,0.07,0.41,1,Warning
46.92,31.72,535,648,0,0.26,0.43,0,Gas Leak
53.45,36.72,762,722,1,0.79,0.77,0,Fire Detected
67.56,16.9,890,829,1,0.81,0.82,1,Fire Detected
91.88,26.01,915,911,1,0.97,1.0,0,Evacuate Immediately
29.7,51.01,118,145,0,0.08,0.02,1,Safe
82.0,6.87,888,932,1,1.0,0.92,0,Evacuate Immediately
77.83,6.42,870,953,1,0.9,1.0,0,Evacuate Immediately
48.03,35.2,805,778,1,0.66,0.72,0,Fire Detected
91.04,22.49,850,1001,1,1.0,0.91,0,Evacuate Immediately
24.55,53.19,112,203,0,0.09,0.03,1,Safe
47.18,31.49,404,746,0,0.29,0.34,1,Gas Leak
41.02,20.8,373,824,0,0.2,0.33,1,Gas Leak
43.65,41.6,390,353,0,0.28,0.23,0,Warning
42.61,45.91,272,225,0,0.01,0.47,1,Warning
66.9,19.65,793,741,1,0.64,0.69,1,Fire Detected
70.79,6.31,877,870,1,0.95,0.98,0,Evacuate Immediately
66.57,12.68,967,932,1,0.97,1.0,0,Evacuate Immediately
67.23,33.37,887,616,1,0.81,0.87,0,Fire Detected
26.08,38.2,139,240,0,0.06,0.04,1,Safe
31.73,51.54,120,181,0,0.02,0.02,0,Safe
38.62,38.38,298,299,0,0.08,0.25,1,Warning
27.49,55.55,116,147,0,0.05,0.03,0,Safe
47.13,21.63,876,767,1,0.71,0.88,0,Fire Detected
64.21,30.47,784,753,1,0.74,0.78,0,Fire Detected
91.98,25.33,924,968,1,0.96,0.97,0,Evacuate Immediately
38.91,32.83,368,265,0,0.3,0.31,0,Warning
35.53,55.44,324,311,0,0.27,0.42,0,Warning
57.35,14.2,804,744,1,0.67,0.79,1,Fire Detected
23.78,35.36,166,129,0,0.02,0.03,0,Safe
36.81,38.51,379,254,0,0.23,0.27,1,Warning
31.57,58.37,176,174,0,0.09,0.09,1,Safe
49.9,31.15,509,790,0,0.11,0.38,0,Gas Leak
26.45,46.15,148,187,0,0.04,0.06,1,Safe
34.19,52.41,196,156,0,0.02,0.02,0,Safe
34.27,40.27,113,229,0,0.08,0.06,0,Safe
65.17,25.51,863,631,1,0.71,0.71,1,Fire Detected
37.52,38.93,358,225,0,0.22,0.49,1,Warning
45.23,28.92,854,766,1,0.65,0.87,1,Fire Detected
41.43,51.66,350,262,0,0.14,0.33,0,Warning
38.42,31.5,375,286,0,0.11,0.44,1,Warning
35.95,34.77,286,211,0,0.27,0.33,1,Warning
41.85,46.22,347,260,0,0.05,0.31,0,Warning
51.82,21.26,733,841,1,0.74,0.85,0,Fire Detected
30.64,40.17,187,219,0,0.02,0.05,0,Safe
38.74,39.01,596,650,0,0.39,0.36,0,Gas Leak
39.5,48.12,328,262,0,0.03,0.37,1,Warning
20.93,32.73,129,230,0,0.07,0.02,1,Safe
40.28,38.76,318,364,0,0.14,0.33,1,Warning
56.96,28.57,824,630,1,0.75,0.81,0,Fire Detected
35.58,52.81,253,285,0,0.25,0.46,1,Warning
25.79,42.34,129,187,0,0.01,0.1,1,Safe
49.35,31.06,375,702,0,0.33,0.54,1,Gas Leak
33.8,42.08,148,137,0,0.08,0.03,1,Safe
39.2,41.06,537,839,0,0.1,0.36,1,Gas Leak
21.9,33.53,154,180,0,0.06,0.09,1,Safe
43.82,37.27,202,264,0,0.08,0.2,0,Warning
50.17,35.96,858,708,1,0.81,0.78,1,Fire Detected
51.78,18.89,860,620,1,0.86,0.83,0,Fire Detected
28.94,37.55,193,103,0,0.05,0.08,0,Safe
22.82,46.0,110,216,0,0.03,0.01,0,Safe
71.62,7.98,888,921,1,0.9,1.0,0,Evacuate Immediately
99.64,19.0,994,1000,1,0.93,0.98,0,Evacuate Immediately
45.93,34.8,853,657,1,0.71,0.85,1,Fire Detected
28.42,40.19,166,240,0,0.08,0.08,0,Safe
55.04,25.32,789,794,1,0.72,0.62,1,Fire Detected
67.47,35.23,793,782,1,0.89,0.64,0,Fire Detected
20.59,46.77,167,158,0,0.01,0.08,0,Safe
32.23,31.66,177,222,0,0.05,0.02,1,Safe
29.24,35.18,104,225,0,0.04,0.06,1,Safe
20.02,58.11,164,119,0,0.09,0.02,1,Safe
46.14,49.71,561,828,0,0.29,0.41,1,Gas Leak
37.17,22.73,478,846,0,0.17,0.33,0,Gas Leak
37.25,44.34,213,321,0,0.1,0.24,1,Warning
49.01,38.84,547,655,0,0.12,0.46,1,Gas Leak
30.7,45.42,115,164,0,0.03,0.02,1,Safe
40.86,22.92,318,727,0,0.35,0.36,0,Gas Leak
49.53,26.73,326,876,0,0.15,0.49,1,Gas Leak
40.59,55.11,396,378,0,0.19,0.44,0,Warning
34.49,46.86,164,102,0,0.06,0.08,1,Safe
92.87,24.3,942,916,1,0.94,0.98,0,Evacuate Immediately
37.86,54.31,243,310,0,0.15,0.24,0,Warning
21.65,37.98,165,144,0,0.05,0.07,0,Safe
38.71,51.02,398,220,0,0.14,0.39,0,Warning
47.71,31.57,864,624,1,0.64,0.79,1,Fire Detected
37.57,49.56,236,320,0,0.11,0.22,1,Warning
79.54,6.08,900,1008,1,0.94,0.94,0,Evacuate Immediately
31.32,44.14,164,149,0,0.06,0.06,1,Safe
31.52,50.09,191,216,0,0.04,0.0,1,Safe
53.47,32.21,804,727,1,0.6,0.82,1,Fire Detected
40.03,45.54,324,396,0,0.18,0.24,1,Warning
40.03,27.77,401,843,0,0.26,0.43,1,Gas Leak
36.15,30.33,265,209,0,0.01,0.33,0,Warning
43.41,48.54,313,233,0,0.14,0.48,0,Warning
49.31,22.43,498,687,0,0.34,0.58,0,Gas Leak
38.95,46.8,543,756,0,0.11,0.34,1,Gas Leak
28.12,59.01,146,226,0,0.02,0.03,1,Safe
44.88,40.27,210,382,0,0.13,0.32,0,Warning
91.81,6.92,927,1014,1,0.96,0.92,0,Evacuate Immediately
21.34,31.38,198,204,0,0.02,0.0,0,Safe
26.11,32.14,165,199,0,0.08,0.06,0,Safe
41.51,38.98,291,259,0,0.26,0.4,1,Warning
40.97,47.01,395,381,0,0.26,0.27,0,Warning
26.14,32.98,122,177,0,0.04,0.04,1,Safe
24.15,39.27,114,111,0,0.07,0.03,0,Safe
45.35,27.37,887,837,1,0.61,0.64,1,Fire Detected
42.91,43.18,388,672,0,0.14,0.49,1,Gas Leak
26.71,49.59,153,174,0,0.07,0.08,1,Safe
40.34,30.57,355,398,0,0.06,0.28,0,Warning
31.88,40.1,117,228,0,0.09,0.0,1,Safe
48.66,33.94,807,781,1,0.75,0.63,0,Fire Detected
26.75,57.33,143,221,0,0.1,0.1,1,Safe
49.65,12.78,824,620,1,0.68,0.71,1,Fire Detected
38.08,43.31,444,664,0,0.24,0.56,0,Gas Leak
47.51,46.55,380,711,0,0.35,0.46,0,Gas Leak
46.71,16.16,830,734,1,0.6,0.83,0,Fire Detected
47.28,36.15,570,772,0,0.26,0.37,1,Gas Leak
35.12,52.53,350,320,0,0.13,0.31,1,Warning
91.94,24.2,965,899,1,0.93,0.93,0,Evacuate Immediately
21.56,54.49,200,229,0,0.02,0.05,1,Safe
29.71,35.99,140,157,0,0.07,0.08,1,Safe
49.4,15.8,861,666,1,0.64,0.81,0,Fire Detected
40.01,25.05,570,898,0,0.33,0.44,1,Gas Leak
42.69,40.11,216,235,0,0.17,0.31,0,Warning
61.27,39.74,751,747,1,0.7,0.82,0,Fire Detected
58.21,37.2,786,664,1,0.83,0.72,1,Fire Detected
42.66,37.0,402,660,0,0.33,0.51,0,Gas Leak
42.16,33.9,545,819,0,0.2,0.58,0,Gas Leak
22.65,35.9,193,108,0,0.09,0.0,1,Safe
27.73,56.16,113,194,0,0.03,0.06,0,Safe
56.84,18.06,809,660,1,0.9,0.63,0,Fire Detected
42.33,27.3,555,753,0,0.11,0.58,0,Gas Leak
37.04,50.09,297,262,0,0.25,0.44,1,Warning
49.02,13.4,742,780,1,0.7,0.71,1,Fire Detected
69.25,30.96,811,638,1,0.73,0.87,0,Fire Detected
93.87,13.24,936,1014,1,0.92,0.99,0,Evacuate Immediately
27.01,43.58,173,168,0,0.07,0.05,1,Safe
20.35,37.12,125,154,0,0.05,0.09,0,Safe
51.01,39.08,775,638,1,0.89,0.67,1,Fire Detected
42.97,31.15,389,609,0,0.16,0.44,0,Gas Leak
53.93,17.94,769,696,1,0.81,0.82,0,Fire Detected
84.61,14.27,938,943,1,0.97,0.93,0,Evacuate Immediately
33.05,49.51,104,168,0,0.06,0.1,0,Safe
94.88,22.75,986,901,1,0.95,0.98,0,Evacuate Immediately
34.41,48.15,108,220,0,0.09,0.01,0,Safe
37.94,39.45,250,364,0,0.13,0.45,0,Warning
38.37,59.79,304,215,0,0.08,0.31,0,Warning
36.47,20.68,382,876,0,0.17,0.36,0,Gas Leak
28.73,51.04,174,152,0,0.0,0.1,0,Safe
43.67,44.49,222,242,0,0.1,0.45,1,Warning
31.72,40.35,124,126,0,0.07,0.09,1,Safe
41.89,28.96,530,798,0,0.15,0.5,1,Gas Leak
51.57,38.05,702,777,1,0.87,0.83,1,Fire Detected
33.44,52.81,137,219,0,0.0,0.07,1,Safe
38.14,37.22,227,386,0,0.2,0.35,0,Warning
84.7,14.25,924,860,1,0.93,1.0,0,Evacuate Immediately
21.99,31.32,164,141,0,0.04,0.02,1,Safe
41.35,30.47,363,813,0,0.17,0.56,0,Gas Leak
51.01,34.76,714,826,1,0.88,0.81,0,Fire Detected
23.18,43.68,177,200,0,0.01,0.08,0,Safe
46.4,26.17,348,823,0,0.12,0.43,0,Gas Leak
35.1,47.37,313,654,0,0.14,0.31,1,Gas Leak
43.71,42.83,388,331,0,0.15,0.44,1,Warning
57.72,17.14,809,819,1,0.88,0.83,1,Fire Detected
33.11,47.96,191,215,0,0.08,0.01,1,Safe
83.86,20.36,993,949,1,0.99,0.96,0,Evacuate Immediately
38.09,36.85,540,847,0,0.4,0.57,1,Gas Leak
27.67,43.01,179,218,0,0.08,0.02,1,Safe
41.35,43.44,384,650,0,0.37,0.45,0,Gas Leak
25.93,42.82,173,107,0,0.07,0.03,0,Safe
28.32,39.44,174,194,0,0.0,0.05,0,Safe
23.76,52.18,190,136,0,0.03,0.04,0,Safe
98.09,21.48,952,1017,1,0.99,0.97,0,Evacuate Immediately
